"조사연도","기준연도","학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"2024","2023","동아보건대학교","사립","전남","3566911156","3404451946","12334210","150125000","575373069","39615000","0","13401960","0","12000000","510356109","4142284225"
"2024","2023","동양대학교","사립","경북","10500356264","10195968644","220776620","83611000","4926784952","782344365","436144999","104008462","0","26742000","3577545126","15427141216"
"2024","2023","동양미래대학교","사립","서울","16263655889","15999564489","69665400","194426000","5862580000","1319644280","1390049244","1643286676","0","80954000","1428645800","22126235889"
"2024","2023","동원과학기술대학교","사립","경남","7904239591","7552829631","96409960","255000000","1840794158","146771600","215226000","69754558","0","32208100","1376833900","9745033749"
"2024","2023","동원대학교","사립","경기","8059174280","8032759780","7914500","18500000","2528513082","5141370","0","89473852","6667550","156970700","2270259610","10587687362"
"2024","2023","동의과학대학교","사립","부산","14103668231","13994064231","28630000","80974000","3873077898","328799450","22974250","82398224","0","6168500","3432737474","17976746129"
"2024","2023","동의대학교","사립","부산","38030522799","37379422039","186693260","464407500","15312897890","4998214990","5062767270","1382398196","0","221107000","3648410434","53343420689"
"2024","2023","두원공과대학교","사립","경기","5831061855","5709889855","2000000","119172000","1524767430","354902300","0","80233430","0","22752000","1066879700","7355829285"
"2024","2023","디지털서울문화예술대학교","사립","서울","4610144749","4604004749","6140000","0","1470113539","95925000","126500000","35172206","0","1680000","1210836333","6080258288"
"2024","2023","루터대학교","사립","경기","1129481225","1106630225","1000000","21851000","375064850","14805000","114800000","35391850","0","0","210068000","1504546075"
"2024","2023","마산대학교","사립","경남","14897064030","14682333790","9110240","205620000","4233581800","962619990","650549990","383662000","0","37300000","2199449820","19130645830"
"2024","2023","명지대학교","사립","경기","28977090625","28407329425","185179200","384582000","16017500611","3006493500","3181219571","1136394130","0","120112000","8573281410","44994591236"
"2024","2023","명지전문대학","사립","서울","20016547737","19834339287","69297050","112911400","5133331641","500185700","1867062302","900539692","0","125748900","1739795047","25149879378"
"2024","2023","목원대학교","사립","대전","19015757125","18809024965","56898160","149834000","8978759166","1925778650","2364592040","566425470","0","117093000","4004870006","27994516291"
"2024","2023","목포가톨릭대학교","사립","전남","1998618081","1809448081","3000000","186170000","506312814","415013900","33685000","5192614","0","0","52421300","2504930895"
"2024","2023","목포과학대학교","사립","전남","9848095767","9473274087","21916680","352905000","1540930148","79797770","319605280","224547178","0","93895250","823084670","11389025915"
